Thời gian xử lý,Số lượng nước đi
673.7816333770752,1212
2620.230197906494,3564
9373.647928237915,9681
11014.447450637817,17939
19537.596940994263,33436
28159.768104553223,50082
33877.8612613678,75501
33066.01905822754,101596
38618.09277534485,125776
43745.662689208984,157930
28781.052350997925,181336
28043.53952407837,210262
18335.941314697266,231937
1899.1446495056152,245264
29601.00793838501,270474
33946.73824310303,296380
29369.28129196167,315270
29000.84900856018,346633
11629.920959472656,351823
4553.4796714782715,359964
892.0905590057373,368225
2789.463520050049,380475
3375.7498264312744,392773
3460.1733684539795,402337
2934.962272644043,412009
4037.888288497925,422607
3576.0512351989746,426006
1865.391492843628,432104
2706.0139179229736,436023
4550.377607345581,443669
3270.5254554748535,452193
1557.013750076294,458078
1975.0139713287354,462902
4607.008934020996,470960
8143.422365188599,476604
5747.640371322632,481207
1048.3779907226562,486399
1307.3701858520508,490495
1668.4577465057373,496304
1328.230857849121,500025
1555.0167560577393,503749
326.7388343811035,505962
1950.666904449463,508101
499.83811378479004,509334
100.22592544555664,510447
63.15946578979492,511352
102.97679901123047,512172
65.19317626953125,513006
29.04677391052246,513597
30.76910972595215,514487
24.720430374145508,515303
22.736549377441406,516164
36.74721717834473,516849
39.18814659118652,517950
46.77772521972656,518793
32.228708267211914,519954
83.38475227355957,520862
47.00064659118652,522090
90.06357192993164,523233
77.2697925567627,524269
74.71346855163574,525756
78.04512977600098,527156
71.47359848022461,528651
41.045188903808594,529847
86.83657646179199,531057
81.12573623657227,532573
70.15538215637207,533782
86.82799339294434,535060
83.20808410644531,536461
67.25859642028809,537771
87.8138542175293,538937
53.26056480407715,540153
82.91506767272949,541360
63.21454048156738,542440
76.6761302947998,543941
105.05294799804688,545221
94.80762481689453,546429
87.68439292907715,547982
97.20969200134277,549229
74.22494888305664,550491
67.97266006469727,551648
63.77363204956055,552822
107.13696479797363,553979
102.10657119750977,555553
89.46633338928223,557043
104.22515869140625,558364
65.78493118286133,559576
65.51551818847656,560929
60.161590576171875,562139
109.28797721862793,563541
124.08733367919922,564999
115.35215377807617,566289
105.2391529083252,568098
99.6851921081543,569370
109.65156555175781,570602
104.88295555114746,571786
86.42125129699707,573187
115.24629592895508,574501
69.80562210083008,575650
124.65977668762207,576800
