Thời gian xử lý,Số lượng nước đi
96.90403938293457,59
111.12070083618164,179
587.7535343170166,625
646.1324691772461,1104
438.4908676147461,1770
593.6858654022217,2513
368.0756092071533,3290
1252.6581287384033,4345
1972.0330238342285,5726
1479.9692630767822,7005
1547.0199584960938,8357
1518.9838409423828,9634
1563.145399093628,10522
974.4830131530762,11657
1291.6622161865234,12256
3645.8916664123535,13970
3195.239543914795,15853
1436.7713928222656,16944
2004.8987865447998,17654
1336.3852500915527,18258
1626.7600059509277,18905
1183.5572719573975,19542
127.15697288513184,19974
740.5478954315186,20814
183.54368209838867,21356
237.25008964538574,21918
166.0466194152832,22317
323.4071731567383,22664
369.7524070739746,22970
192.49224662780762,23154
543.7328815460205,23469
282.9296588897705,23609
