Thời gian xử lý,Số lượng nước đi
905.1005840301514,664
1324.920415878296,2020
4486.338138580322,5633
8643.677234649658,13126
17119.404315948486,25530
12937.737941741943,38956
32424.29828643799,62835
39525.75755119324,90103
27930.39560317993,111703
37332.223653793335,141529
34129.7881603241,170539
43335.23893356323,199229
31352.083921432495,224410
27106.005430221558,244464
33590.280532836914,259334
34562.53409385681,284129
19621.023416519165,304611
47126.182079315186,335828
981.7452430725098,347087
11899.181604385376,357711
10493.30186843872,367711
13316.305160522461,378881
14581.413984298706,390857
9284.459590911865,400285
10319.036483764648,410427
11460.083961486816,420230
2164.091110229492,424054
8724.016666412354,431306
3815.613031387329,434466
6461.625814437866,441137
9552.592515945435,450267
6920.499086380005,457099
4822.966814041138,461804
8864.77279663086,468525
1926.1605739593506,472189
2028.3634662628174,477845
5745.315074920654,485542
3094.2940711975098,489487
5000.469923019409,495067
2869.271755218506,498904
2305.047035217285,502305
1893.47505569458,505649
639.1787528991699,506487
578.0713558197021,508693
416.23616218566895,510148
206.06207847595215,511160
145.78628540039062,511921
218.6145782470703,512817
200.70147514343262,513518
290.09461402893066,514394
257.30228424072266,515237
204.88214492797852,516085
180.96089363098145,516739
282.5765609741211,517838
228.21688652038574,518660
285.69746017456055,519852
210.0846767425537,520653
307.61170387268066,521960
273.317813873291,523007
237.71142959594727,524053
406.03160858154297,525554
348.80828857421875,526961
442.7797794342041,528451
310.4383945465088,529733
299.41749572753906,530814
413.77973556518555,532356
304.5156002044678,533608
366.64819717407227,534863
375.18954277038574,536239
304.6689033508301,537575
264.2691135406494,538713
328.4633159637451,540004
321.3379383087158,541140
275.1462459564209,542258
411.78321838378906,543755
301.78356170654297,544951
320.44148445129395,546196
408.19740295410156,547755
343.9211845397949,548993
312.02006340026855,550274
306.1518669128418,551469
289.09826278686523,552652
278.3334255218506,553764
441.6828155517578,555343
372.1919059753418,556827
304.6433925628662,558112
331.7551612854004,559386
360.10122299194336,560753
326.5261650085449,561995
374.52054023742676,563303
382.9801082611084,564714
296.9937324523926,566035
434.6270561218262,567836
348.6812114715576,569122
306.8966865539551,570344
317.6093101501465,571595
373.48127365112305,572992
333.6348533630371,574245
305.07540702819824,575472
286.8916988372803,576583
