Thời gian xử lý,Số lượng nước đi
0.621906042098999,1176
1.1359131336212158,3106
2.1710476875305176,6646
1.923654556274414,9883
10.041130542755127,22859
17.7187557220459,41358
13.72429633140564,54786
14.192604780197144,70836
17.787573099136353,90835
26.47074866294861,116842
15.415196657180786,136535
15.48829197883606,154653
21.92176103591919,175582
17.00258207321167,193412
14.079681634902954,215277
23.935420751571655,238742
25.35627579689026,264337
19.277283906936646,284591
12.062258958816528,291940
6.164541006088257,300059
6.231761932373047,310062
12.33980107307434,321265
9.685419082641602,332209
6.843388557434082,339918
6.254954814910889,348738
8.342329263687134,355855
7.491794586181641,362067
3.3860857486724854,366801
2.5494472980499268,371267
2.873703956604004,374030
9.413517475128174,381767
4.148763418197632,385441
7.211319208145142,390597
3.9520270824432373,393547
9.508381366729736,401063
8.601692914962769,407306
6.069143056869507,412390
5.247277021408081,416336
3.1970784664154053,418913
6.6933677196502686,424040
2.4199037551879883,428086
1.5311274528503418,431309
1.5956718921661377,434503
1.338120698928833,437724
2.0313148498535156,442557
1.8489062786102295,446983
1.5648295879364014,451078
1.4670755863189697,454982
1.1390810012817383,458134
1.038442611694336,461153
1.0357558727264404,463866
0.6074166297912598,465499
0.9865860939025879,468224
0.8182127475738525,470510
0.8526439666748047,472938
0.7856526374816895,475343
0.6697769165039062,477342
0.7635433673858643,479650
0.5587828159332275,481377
0.6785223484039307,483498
0.7730152606964111,485667
0.5540378093719482,487343
0.7476181983947754,489516
0.7019102573394775,491603
0.5689575672149658,493310
0.5319461822509766,495228
0.5395948886871338,496906
0.524791955947876,498639
0.6054015159606934,500496
0.790184497833252,502721
0.7037985324859619,504782
0.665989875793457,506802
0.737097978591919,508994
0.7584712505340576,511305
0.8363511562347412,513711
0.783832311630249,515928
0.808779239654541,518116
0.71435546875,520224
0.6057577133178711,522175
0.5467333793640137,524379
0.6779599189758301,526746
0.7229433059692383,529276
0.7713882923126221,531762
0.6677656173706055,534209
0.7889292240142822,536653
0.811427116394043,539278
1.0271260738372803,542158
0.9060328006744385,544680
0.6073586940765381,546208
0.8156106472015381,548435
0.9037699699401855,550547
0.8149402141571045,552745
0.9407165050506592,555289
0.823570966720581,557950
0.7239317893981934,560312
0.5077531337738037,562054
0.48287343978881836,563787
0.49962854385375977,565654
0.6173536777496338,567694
0.45319151878356934,569525
