Thời gian xử lý,Số lượng nước đi
73.83465766906738,119
128.10587882995605,259
213.99712562561035,729
796.8142032623291,1511
780.5829048156738,2195
1135.7603073120117,3089
984.642505645752,3766
1592.3616886138916,4982
1609.9162101745605,6377
1589.0142917633057,7711
1511.7273330688477,8989
867.098331451416,9965
2177.881956100464,11299
474.85995292663574,11827
1712.3396396636963,12899
3067.164182662964,14891
1918.5638427734375,16454
214.89477157592773,17009
211.54189109802246,17738
99.31683540344238,18306
551.9003868103027,19091
792.5028800964355,19921
923.6297607421875,20412
858.4887981414795,21257
1031.907081604004,21801
646.7058658599854,22233
405.48086166381836,22493
206.32576942443848,22768
109.26437377929688,23035
73.0893611907959,23198
64.04399871826172,23495
