Thời gian xử lý,Số lượng nước đi
563.7116432189941,1110
1341.77565574646,3005
4793.32709312439,9286
6505.13219833374,15509
14248.484134674072,28795
15293.798923492432,44020
15924.61085319519,61068
23563.482522964478,84983
33360.10956764221,114456
30876.60050392151,129836
16849.305868148804,152537
2446.7248916625977,163887
20457.2012424469,189366
14898.729801177979,205494
28599.207401275635,225478
30031.752586364746,250150
15415.820598602295,267620
19590.59453010559,291510
25775.29811859131,313052
25579.180479049683,336577
12757.28964805603,360760
3817.1916007995605,379596
3691.831111907959,386247
2317.882537841797,392355
1629.823923110962,399729
2171.0402965545654,407816
2816.2615299224854,416616
1918.215274810791,423537
3263.209819793701,433509
3477.6124954223633,441676
2489.3033504486084,451102
1402.433156967163,456972
1009.6635818481445,462158
831.2010765075684,465599
449.1536617279053,468738
1044.7015762329102,472618
781.51535987854,477167
1331.3729763031006,481626
990.3137683868408,486603
810.5132579803467,490914
1145.4391479492188,495790
596.5602397918701,499830
1047.818899154663,504251
942.5919055938721,508141
896.9428539276123,512684
905.9970378875732,516898
856.0457229614258,520922
657.3994159698486,523896
751.6412734985352,527891
792.1557426452637,531608
