Thời gian xử lý,Số lượng nước đi
0.5604698657989502,573
0.8817861080169678,2053
1.6161558628082275,4670
1.6560444831848145,8224
8.271950244903564,15833
12.198134660720825,29809
6.639278173446655,45702
12.70220947265625,62688
14.898538827896118,79957
22.53647232055664,102611
18.624460697174072,127392
16.831705808639526,145664
15.318289518356323,163577
16.246845483779907,184958
30.88323187828064,209095
22.271789073944092,226622
24.872989654541016,251613
21.953375577926636,274762
2.820749044418335,286039
9.058091163635254,296442
8.694950342178345,305971
6.3761351108551025,314239
6.880945205688477,326155
5.511998176574707,335704
5.5644690990448,343925
0.9854848384857178,349498
0.5462162494659424,356272
2.360950231552124,364084
2.475177526473999,369161
0.3948826789855957,371621
1.172956943511963,374871
1.2674953937530518,382580
0.31912660598754883,385651
0.7088119983673096,391022
1.6402225494384766,394635
0.8576409816741943,401649
1.3830254077911377,408231
0.704925537109375,412821
0.38588714599609375,416605
0.779106616973877,419439
0.1313931941986084,424193
0.1531238555908203,428302
0.11829733848571777,431486
0.1459672451019287,434740
0.3411872386932373,438236
0.3256795406341553,443060
0.22047042846679688,447347
0.13504838943481445,451316
0.12037014961242676,455197
0.15406250953674316,458430
0.10290074348449707,461335
0.08473372459411621,464015
0.08762335777282715,465643
0.053724050521850586,468325
0.050444602966308594,470608
0.11523246765136719,473160
0.04751420021057129,475445
0.10360002517700195,477541
0.0403132438659668,479734
0.09147095680236816,481557
0.05775332450866699,483618
0.05777454376220703,485793
0.04854297637939453,487437
0.06507110595703125,489637
0.045072078704833984,491700
0.0564875602722168,493429
0.05197596549987793,495340
0.09484004974365234,497117
0.047538042068481445,498738
0.0740659236907959,500634
0.051670074462890625,502828
0.05422401428222656,504889
0.07903766632080078,506962
0.10635638236999512,509197
0.05556368827819824,511411
0.08885502815246582,513893
0.045607805252075195,516022
0.08120369911193848,518262
0.03941178321838379,520310
0.07068848609924316,522345
0.07840919494628906,524569
0.04184889793395996,526848
0.06261253356933594,529416
0.07013583183288574,531919
0.05156707763671875,534323
0.06751823425292969,536783
0.15054798126220703,539580
0.1520543098449707,542505
0.05258965492248535,544787
0.05074906349182129,546303
0.04800701141357422,548524
0.04866194725036621,550640
0.04848670959472656,552846
0.04833531379699707,555392
0.06007647514343262,558068
0.03427696228027344,560397
0.028022289276123047,562132
0.036637306213378906,563881
0.042551279067993164,565750
0.03442573547363281,567782
